chronics at: Scenario_november_268	total score: 26021.332031	time steps: 24/8062
chronics at: Scenario_october_010	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_011	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_013	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_019	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_034	total score: 31607.115234	time steps: 34/8062
chronics at: Scenario_october_044	total score: 65199.257812	time steps: 85/8062
chronics at: Scenario_october_086	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_113	total score: 111461.492188	time steps: 95/8062
chronics at: Scenario_october_142	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_176	total score: 99415.812500	time steps: 83/8062
chronics at: Scenario_october_179	total score: 95793.890625	time steps: 87/8062
chronics at: Scenario_october_180	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_181	total score: 3468.699219	time steps: 9/8062
chronics at: Scenario_october_230	total score: 123487.257812	time steps: 107/8062
chronics at: Scenario_october_231	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_236	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_248	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_252	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_october_255	total score: 5196.317871	time steps: 12/8062
chronics at: Scenario_october_267	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_038	total score: 118513.539062	time steps: 127/8062
chronics at: Scenario_september_045	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_071	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_081	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_085	total score: 104659.507812	time steps: 122/8062
chronics at: Scenario_september_112	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_113	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_127	total score: 154339.562500	time steps: 147/8062
chronics at: Scenario_september_136	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_150	total score: 31991.875000	time steps: 52/8062
chronics at: Scenario_september_201	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_september_205	total score: 76163.585938	time steps: 102/8062
