chronics at: Scenario_october_230	total score: 3632.242676	time steps: 114/8062
chronics at: Scenario_october_231	total score: 11870.055664	time steps: 380/8062
chronics at: Scenario_october_236	total score: 4982.390625	time steps: 170/8062
chronics at: Scenario_october_248	total score: 27701.949219	time steps: 1031/8062
chronics at: Scenario_october_252	total score: 29218.609375	time steps: 966/8062
chronics at: Scenario_october_255	total score: 13314.470703	time steps: 404/8062
chronics at: Scenario_october_267	total score: 29779.580078	time steps: 994/8062
chronics at: Scenario_september_038	total score: 3865.029785	time steps: 182/8062
chronics at: Scenario_september_045	total score: 4718.462891	time steps: 223/8062
chronics at: Scenario_september_071	total score: 15057.097656	time steps: 680/8062
chronics at: Scenario_september_081	total score: 11481.902344	time steps: 540/8062
chronics at: Scenario_september_085	total score: 15209.610352	time steps: 701/8062
chronics at: Scenario_september_112	total score: 4432.595215	time steps: 215/8062
chronics at: Scenario_september_113	total score: 15040.587891	time steps: 675/8062
chronics at: Scenario_september_127	total score: 41824.156250	time steps: 1671/8062
chronics at: Scenario_september_136	total score: 23399.689453	time steps: 968/8062
chronics at: Scenario_september_150	total score: 15914.900391	time steps: 724/8062
chronics at: Scenario_september_201	total score: 35670.753906	time steps: 1526/8062
chronics at: Scenario_september_205	total score: 16821.458984	time steps: 738/8062
