chronics at: Scenario_october_248	total score: 579228.125000	time steps: 938/8062
chronics at: Scenario_october_252	total score: 76552.210938	time steps: 588/8062
chronics at: Scenario_october_255	total score: 7320.757324	time steps: 146/8062
chronics at: Scenario_october_267	total score: 4722.220703	time steps: 99/8062
chronics at: Scenario_september_038	total score: 15327.945312	time steps: 267/8062
chronics at: Scenario_september_045	total score: 691147.812500	time steps: 1069/8062
chronics at: Scenario_september_071	total score: 544761.875000	time steps: 786/8062
chronics at: Scenario_september_081	total score: 373885.156250	time steps: 597/8062
chronics at: Scenario_september_085	total score: 834554.687500	time steps: 1086/8062
chronics at: Scenario_september_112	total score: 5403.927246	time steps: 191/8062
chronics at: Scenario_september_113	total score: 291763.500000	time steps: 748/8062
chronics at: Scenario_september_127	total score: 10022.344727	time steps: 194/8062
chronics at: Scenario_september_136	total score: 118170.304688	time steps: 573/8062
chronics at: Scenario_september_150	total score: 41381.437500	time steps: 661/8062
chronics at: Scenario_september_201	total score: 1674.653320	time steps: 23/8062
chronics at: Scenario_september_205	total score: 748393.937500	time steps: 1057/8062
